image,count,min_radius_px,max_radius_px,mean_radius_px,median_radius_px,std_radius_px,min_area_px2,max_area_px2,mean_area_px2,mean_local_contrast,mean_edge_support,isolated_ratio,touches_border_ratio
1.bmp,70,6.0,24.0,15.6,16.0,6.275576239904758,113.09733552923255,1809.5573684677208,888.2628828549883,-146.61657737700287,0.3018807597695635,0.7571428571428571,0.0
10.bmp,110,6.0,24.0,7.627272727272727,6.0,3.6428238070563057,113.09733552923255,1809.5573684677208,224.4525151323835,-45.28751556375436,0.32124231434689127,0.9090909090909091,0.0
11.bmp,111,6.0,24.0,7.954954954954955,6.0,4.243463202730276,113.09733552923255,1809.5573684677208,255.37468930937567,-58.1484081275476,0.3328605911120878,0.9099099099099099,0.0
12.bmp,106,6.0,24.0,10.40566037735849,7.0,6.267282974675426,113.09733552923255,1809.5573684677208,463.5627424037543,-53.074840631434654,0.31297937058523256,0.7924528301886793,0.009433962264150943
13.bmp,71,6.0,24.0,15.338028169014084,16.0,5.985766361025458,113.09733552923255,1809.5573684677208,851.637095825954,-180.98142355535586,0.30046708815490447,0.8028169014084507,0.0
2.bmp,89,6.0,24.0,13.224719101123595,13.0,6.040598245893103,113.09733552923255,1809.5573684677208,664.0762088987054,-139.2633758513158,0.26933777204542997,0.7078651685393258,0.011235955056179775
3.bmp,74,6.0,24.0,14.905405405405405,16.0,6.1008836730758285,113.09733552923255,1809.5573684677208,814.9036619683254,-170.4805749471852,0.29497043588363847,0.8378378378378378,0.02702702702702703
4.bmp,67,6.0,24.0,15.522388059701493,17.0,5.875215357006134,113.09733552923255,1809.5573684677208,865.3915524575107,-179.74758555001753,0.30224214789414866,0.8208955223880597,0.05970149253731343
5.bmp,57,6.0,24.0,15.75438596491228,16.0,5.67938933508279,113.09733552923255,1809.5573684677208,881.0789501804636,-179.07402748555145,0.31367296611532597,0.9298245614035088,0.03508771929824561
6.bmp,86,6.0,23.0,13.906976744186046,14.0,6.395179701780382,113.09733552923255,1661.9025137490005,736.0824647655154,-157.70311724308792,0.3060787016276213,0.7325581395348837,0.011627906976744186
7.bmp,78,6.0,23.0,12.974358974358974,12.5,5.38986313268585,113.09733552923255,1661.9025137490005,620.1020576239544,-135.01047409584567,0.2628337511044332,0.6153846153846154,0.01282051282051282
8.bmp,67,6.0,23.0,15.701492537313433,17.0,5.536891000501711,113.09733552923255,1661.9025137490005,870.8307277980541,-179.18251293299755,0.3120667304533563,0.8805970149253731,0.029850746268656716
9.bmp,105,6.0,23.0,13.076190476190476,13.0,6.054821358058761,113.09733552923255,1661.9025137490005,652.3442345354119,-142.97771863014515,0.2864779990816851,0.5333333333333333,0.009523809523809525
